fault_type,priority,distance_km,hour_of_day,is_weekend,historical_fault_count,resolution_minutes
DONANIM,YUKSEK,11.51,14,0,1,183.0
ISINMA,YUKSEK,15.3,17,0,4,112.4
DONANIM,ORTA,3.77,3,1,2,221.6
GUC_KESINTISI,YUKSEK,0.4,1,1,0,222.2
ISINMA,ORTA,8.39,1,1,1,128.8
BAGLANTI,YUKSEK,8.73,14,1,2,84.7
GUC_KESINTISI,YUKSEK,0.58,17,0,0,90.8
BAGLANTI,ORTA,0.34,13,0,0,82.4
BAGLANTI,KRITIK,6.13,14,0,0,139.9
DONANIM,DUSUK,18.73,10,1,1,171.3
YAZILIM,YUKSEK,0.3,22,1,3,51.0
ISINMA,YUKSEK,7.22,13,0,0,147.3
BELIRSIZ,ORTA,0.42,7,0,0,130.6
GUC_KESINTISI,KRITIK,5.57,3,1,1,134.8
ISINMA,DUSUK,24.15,18,0,0,139.3
GUC_KESINTISI,KRITIK,7.79,6,0,0,94.2
ISINMA,ORTA,9.44,6,1,0,109.6
BELIRSIZ,DUSUK,5.26,10,1,0,135.7
BELIRSIZ,ORTA,10.26,14,0,4,88.8
ISINMA,ORTA,10.29,16,0,0,60.7
BELIRSIZ,KRITIK,0.92,20,0,3,75.5
GUC_KESINTISI,YUKSEK,10.48,16,1,0,204.3
BELIRSIZ,ORTA,1.2,10,0,1,135.8
GUC_KESINTISI,KRITIK,4.97,11,0,1,53.5
BELIRSIZ,KRITIK,1.6,4,0,0,157.4
GUC_KESINTISI,KRITIK,5.54,16,1,0,155.0
ISINMA,YUKSEK,0.87,13,0,2,91.4
YAZILIM,ORTA,7.99,17,0,1,70.6
YAZILIM,ORTA,0.63,3,0,0,52.3
GUC_KESINTISI,YUKSEK,0.69,10,0,0,58.9
DONANIM,ORTA,1.84,3,0,0,161.4
ISINMA,YUKSEK,0.35,12,1,0,84.3
ISINMA,ORTA,13.21,21,0,0,144.8
YAZILIM,DUSUK,4.23,20,0,1,53.7
BELIRSIZ,DUSUK,5.31,0,0,2,204.2
GUC_KESINTISI,ORTA,0.95,14,1,0,173.2
ISINMA,YUKSEK,5.49,0,1,1,115.4
ISINMA,ORTA,8.53,13,1,0,96.1
ISINMA,DUSUK,3.54,18,0,0,86.2
BELIRSIZ,ORTA,0.3,0,1,1,150.1
BAGLANTI,KRITIK,22.42,12,0,0,115.0
BELIRSIZ,YUKSEK,1.06,10,0,1,155.8
DONANIM,YUKSEK,4.54,5,1,1,208.4
BAGLANTI,YUKSEK,12.75,19,0,1,76.8
BELIRSIZ,ORTA,14.21,12,0,2,247.1
BELIRSIZ,ORTA,7.82,10,1,1,165.8
GUC_KESINTISI,YUKSEK,2.89,23,0,1,99.2
DONANIM,ORTA,10.96,8,1,0,161.8
BAGLANTI,YUKSEK,4.66,16,0,3,99.4
ISINMA,ORTA,3.56,2,0,1,119.0
YAZILIM,ORTA,11.31,4,1,1,68.2
ISINMA,ORTA,35.73,18,0,8,126.0
BAGLANTI,ORTA,9.56,0,1,0,218.7
YAZILIM,DUSUK,0.3,10,0,1,64.8
BAGLANTI,YUKSEK,2.18,7,0,0,96.3
YAZILIM,ORTA,1.06,1,1,6,81.9
