signal_strength,packet_loss,temperature,power_status,historical_fault_count,temperature_trend,signal_delta,packet_loss_ma,fault_type
-104.74,20.1,36.1,NORMAL,0,0.66,-10.94,19.68,BAGLANTI
-109.8,22.49,68.71,UNSTABLE,0,0.89,-7.05,17.58,DONANIM
-102.85,27.72,32.15,NORMAL,1,-0.1,-12.99,24.77,BAGLANTI
-100.4,36.76,64.47,NORMAL,3,-0.66,-2.67,30.17,DONANIM
-78.85,12.29,31.3,NORMAL,2,1.33,10.67,20.58,YAZILIM
-91.4,26.91,77.14,NORMAL,1,0.68,-1.88,27.07,DONANIM
-90.93,1.43,32.34,NORMAL,1,-0.68,-0.74,1.74,NORMAL
-77.54,5.67,74.3,NORMAL,2,2.04,-3.24,0,ISINMA
-91.3,33.48,38.96,OUTAGE,0,1.62,-15.63,22.22,GUC_KESINTISI
-84.79,0,33.23,NORMAL,1,1.11,-5.97,4.03,YAZILIM
-90.89,28.98,84.23,NORMAL,1,1.08,-3.83,30.25,DONANIM
-94.52,24.86,44.35,OUTAGE,1,-0.78,-10.15,49.64,GUC_KESINTISI
-86.7,13.34,83.21,NORMAL,2,3.0,-3.46,9.67,ISINMA
-82.28,26.73,37.2,OUTAGE,1,0.2,-15.77,31.95,GUC_KESINTISI
-93.77,18.88,66.83,NORMAL,2,0.11,-5.33,19.68,DONANIM
-97.56,12.64,43.56,UNSTABLE,1,-0.75,-9.17,44.47,GUC_KESINTISI
-73.35,2.86,78.45,NORMAL,3,4.8,-2.16,2.39,ISINMA
-110,27.16,34.99,UNSTABLE,2,-0.3,-5.24,27.54,GUC_KESINTISI
-93.39,37.63,35.79,NORMAL,0,-0.84,-2.79,35.16,BAGLANTI
-78.1,6.46,75.9,NORMAL,1,3.89,-2.85,6.15,ISINMA
-70.96,0,69.63,NORMAL,1,3.2,-2.95,0,ISINMA
-93.7,62.49,33.84,OUTAGE,1,0.1,-13.69,42.35,GUC_KESINTISI
-100.32,5.66,42.71,NORMAL,2,0.02,-13.89,10.35,DONANIM
-71.36,15.44,40.12,NORMAL,1,-0.12,-6.03,12.22,YAZILIM
-63.46,3.22,36.88,NORMAL,2,-2.06,9.18,11.67,YAZILIM
-108.93,36.9,39.12,NORMAL,1,-0.64,-13.86,38.17,BAGLANTI
-96.97,0.49,30.59,NORMAL,2,-2.4,5.86,3.73,YAZILIM
-104.13,11.94,38.05,NORMAL,2,-0.07,-8.48,11.95,BAGLANTI
-98.41,37.54,35.69,NORMAL,2,0.08,-5.18,37.93,BAGLANTI
-82.43,6.13,84.05,NORMAL,1,5.7,0.08,2.72,ISINMA
-92.33,36.68,68.25,NORMAL,0,2.91,-4.93,37.26,DONANIM
-77.86,5.13,83.59,NORMAL,1,5.06,-5.39,5.33,ISINMA
-74.98,6.15,82.78,NORMAL,2,5.79,-0.68,0,ISINMA
-88.64,14.07,66.59,NORMAL,3,1.84,-4.24,11.85,DONANIM
-97.37,26.48,75.19,NORMAL,1,5.23,-17.03,26.56,DONANIM
-90.8,6.76,57.78,NORMAL,1,1.58,-10.26,6.26,DONANIM
